spmiserver;objectno;description
KPRDCSA01;10250000000001;BBraun Medical BV
KPRDCSA01;10250000000005;Medical Dynamics Inc.
KPRDCSA01;10250000000006;Promedics Medical Systems BV
KPRDCSA01;10250000000007;KaVo Dental GmbH
KPRDCSA01;10250000000008;Weijer Pododepot BV
KPRDCSA01;10250000000009;Netherlands Teleflex Medical B.V. 
KPRDCSA01;10250000000011;Dam Medical BV
KPRDCSA01;10250000000012;Meekers Medical BV
KPRDCSA01;10250000000013;ND Service NV
KPRDCSA01;10250000000014;Plus Orthopedics Netherlands BV
KPRDCSA01;10250000000017;Robouw Medical BV
KPRDCSA01;10250000000018;Dental Union/Neodent BV
KPRDCSA01;10250000000020;Erbe Benelux BV
KPRDCSA01;10250000000095;Onbekend
KPRDCSA01;10250000000021;Olympus Nederland BV
KPRDCSA01;10250000000022;Straumann BV
KPRDCSA01;10250000000023;Gyrus Medical GmbH
KPRDCSA01;10250000000024;Van Straten Medical
KPRDCSA01;10250000000025;Ophtec BV
KPRDCSA01;10250000000027;Medical Workshop BV
KPRDCSA01;10250000000028;Pro Motion Medical BV
KPRDCSA01;10250000000029;Dentsply Friadent Benelux NV
KPRDCSA01;10250000000030;"Medical Technologie Transfer	 "
KPRDCSA01;10250000000031;KLS Martin Nederland
KPRDCSA01;10250000000032;Jordan Medical BV
KPRDCSA01;10250000000033;Sanamij BV
KPRDCSA01;10250000000034;Endomed BV
KPRDCSA01;10250000000035;Cazander medical BV
KPRDCSA01;10250000000036;Biomet Nederland
KPRDCSA01;10250000000037;RX  Medical BV
KPRDCSA01;10250000000038;Somas Orthopaedie BV
KPRDCSA01;10250000000039;The Surgical Company BV 
KPRDCSA01;10250000000040;Goebertus (G.M.I.) BV
KPRDCSA01;10250000000041;Dentalair Products  Nederland BV
KPRDCSA01;10250000000042;Tyco Healthcare Deutschland GmbH
KPRDCSA01;10250000000043;3M Nederland BV
KPRDCSA01;10250000000044;Bausch & Lomb BV
KPRDCSA01;10250000000045;CNFKoetsier BV 
KPRDCSA01;10250000000046;Richard Wolf Belgium S.A.
KPRDCSA01;10250000000047;Advanced Medial Optics BV
KPRDCSA01;10250000000048;Optronica Service BV
KPRDCSA01;10250000000049;Dutch Ophthalmic Research Center International BV 
KPRDCSA01;10250000000050;Sigma Medical BV
KPRDCSA01;10250000000051;Alcon Nederland BV
KPRDCSA01;10250000000052;Prins D BV
KPRDCSA01;10250000000053;Hete Medische Apparaten & Instrumenten
KPRDCSA01;10250000000054;Gambro-Hospal B.V.
KPRDCSA01;10250000000055;ConMed Linvatec Nederland BV
KPRDCSA01;10250000000056;Mathys Orthopaedics B.V.   
KPRDCSA01;10250000000057;Elfa Elementen Fabriek BV  
KPRDCSA01;10250000000058;Krijnen Medical Innovations BV 
KPRDCSA01;10250000000059;Mentor Medical Systems BV 
