;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
8504;KPRDCSA02;9001045483;c9c57176d46b8cf61363bae882b695e50282d1107c1d0dd900dba3ea3d3b6b73;Reamer Holder Shaft white;GR16754;unk;Unknown;;False
8597;KPRDCSA02;9001048011;b9bd8566ef405d7784614e963ab08be2462aed38692136214becb6a43c9078df;capuchon gris L:15mm;GR17058;;unknown;;False
8599;KPRDCSA02;9001018027;03ac7e4adf0b970f9462d919bc0793c8e0734b4fc20806ff305eab2d6a979d8d;bouchon d'étanchéité rouge/orange;GR12610;;wolf;;False
8604;KPRDCSA02;9001019416;b427427a7779b1417430c9cf1b45bb703b9470237636c9ffcd12e74b2738abf4;ciseaux Stevens courbes pointus L:105mm;GR12921;;unknown;;False
8606;KPRDCSA02;9001050175;e2c784b9d8643fc49764451085a2be270659c6d99f9935838841b6cfb300ae51;applicateur coton L:160mm;GR17506;;unknown;;False
8608;KPRDCSA02;9001050177;635db678a279d6841eae8cc817747a3f4ca3da2680aa1dfa4accf7d46e4dc94e;curette coudée creuse;GR17507;;unknown;;False
8609;KPRDCSA02;9001047501;f92d1b7d493d9c9013965d6511b7b945379d487ab70211f9469b62bb39d41343;raccord pour aspiration L:50mm;GR16963;;unknown;;False
8611;KPRDCSA02;9001013221;66b034382fd9f0f0e10a0504e5f1f74be99b4b88ba470831f5dfb0142cdf831c;canule aspiration L:100mm D:1,5mm;GR10649;;unknown;;False
8613;KPRDCSA02;9001047503;dea1e1d34b401258797776cd3342e74358bb40bab6aa2c09a87a579145dd780e;mandrin canule aspiration embout jaune;GR16965;;unknown;;False
8616;KPRDCSA02;9001047505;541e8e9c4514089ac0cac05807e0e2a9d15ec1d1f550cf155766789ec600eebf;spéculum oreille H:35mm;GR16966;;unknown;;False
8618;KPRDCSA02;9001042488;bd75f14d0caf3507aa9900e6e999cc240e747f52b0c7fbdb71339044581f7d02;pièce vissable pour bistouri Beaver L:22mm;GR16506;unk;Unknown;;False
8619;KPRDCSA02;9001047509;3986e9ef68c7066841f0ff589816616c9c6b01c9b26abe1f85ab498e3349705f;pièce à visser pour manche Beaver L:45mm;GR16968;;unknown;;False
8629;KPRDCSA02;9001029268;937343149c3c93f6fcf5306d8a25fce9da8ec60b35d4639035d7838e54624e80;pince Pozzi droite L:250mm;GR14125;;unknown;;False
8630;KPRDCSA02;9001050270;e56481768d9c185cc5c7f8938efcdca87e7506bf1885ce1e756b685b6c523eaf;hystéromètre gradué L:290mm;GR17525;;reda;;False
8636;KPRDCSA02;9001013656;8aa7fcaf65e0061a296c909b9de07b31a067717c48034dbf991f71957282da05;hystéromètre gradué L:270mm;GR11103;;unknown;;False
8654;KPRDCSA02;9001044926;2c7b9992cb3b6fa5d4001bc4666f084d7ea3ed68563846e72185ea56d6296d94;JOINT ORANGE 22MM;GR1228;;unknown;NA;False
8666;KPRDCSA02;9001032257;3573d722edd5e47941c16cf650a3d6f2ea87e29ad04ce4e011262a1020c280e8;broche conductrice L:200mm;GR15177;;unknown;NA;False
8674;KPRDCSA02;9001045065;6f7c06f5fbe74b2e4f13dbea3b727992a4d9e824930a3c8f032cd05292f4da50;Fixation Screw 42mm;GR16718;;unknown;NA;False
8675;KPRDCSA02;9001045066;9eef1a4052444398650716c24b29aab73154c2de4c614d04536b902b439e2645;Fixation Screw 32mm;GR16719;;unknown;NA;False
8677;KPRDCSA02;9001045070;f7b80385008dfd65e0b6cb63f401266ae272858964ba071c96c60db6330a6191;Inserter Plate large;GR16721;;unknown;NA;False
8762;KPRDCSA02;9001044951;7547386ef859be447a64440b64122359a83fdb83ac6bbb4aff1ad74981c052b9;ventouse en caoutchouc jaune D:60mm L:245mm;GR16714;NA;Medela;NA;False
8784;KPRDCSA02;9001045054;7fb828e90076b831ec91508dca5ffd342f0d5b7d1dfdb198a84d02a792aba4c7;clé de serrage embout hexagonal;GR16715;;Link;;False
