;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
34352;KPRDCSA03;9026039852;95fbcdb03728832665792bf87dbd98704049fe970ca8aba806bf9ddf775017af;pince Halstead-Mosquito courbe L:200mm sans griffes;IR0077;;Unknown;NA;False
34543;KPRDCSA03;9026008132;4dae67b9ee6f63ee3be1a16fd72086ed3241cbc8e91431638dbfe37df8ddf7ba;pince Pean courbe L:180mm sans griffes;IR0047;;Indifférent;;False
35388;KPRDCSA03;9026008133;cb4b4d6fda0ad876f482ff1e0fb085b10fd484bd9d517e84d06a9befa0f17758;pince Pean droite L:180mm sans griffes;IR0048;;Indifférent;;False
35599;KPRDCSA03;9026008136;6d3f1e90a872eaac5ba6bbedbd99ec20265d3df28961da0b77d4660d928dd869;porte aiguille Mayo L:220mm;IR0058;;Indifférent;;False
35864;KPRDCSA03;9026002057;9ca486ddd2474ac0516502358b722b4669090191247dd217708a5a662869a900;porte aiguille Mayo L:230mm;IR0032;;Indifférent;;False
37897;KPRDCSA03;9026002034;0911e9cadc2b0e46005c462f7f93481821a018d09a13804d96b7dd2e99ae4f10;manche bistouri n°4 inox;IR0003;;Indifférent;;False
37898;KPRDCSA03;9026002043;3b22a0c9c473a55c20f5a5bc6e354e11afaf4c600282778e112bb549e68298f4;pince dissection anatomique L:200mm sans griffes;IR0014;;Indifférent;;False
37899;KPRDCSA03;9026002044;f2b903b3766fae6d0a390254745bfc30a5030df77a495d5a3a9a08d0e1b6e022;pince dissection droite L:200mm 2*1 griffes;IR0015;;Indifférent;;False
37901;KPRDCSA03;9026002077;f6066e85c105849f10a9cd9c2ee454c5a0421e8549e0b76e78d7cc5e5ad5caa1;porte aiguille Mayo L:190mm;IR0061;;Indifférent;;False
37902;KPRDCSA03;9026002045;e6adba620d177cdc623359ab86b8079ad7eccaf0a6c22bf4549652254744b04c;pince Halstead Mosquito courbe L:125mm sans griffes;IR0016;;Indifférent;;False
37903;KPRDCSA03;9026002047;2132c62d898312bd560b40d16dddeb2dc7ed3453f0bdce430aa89259fa679fcb;pince Pean droite L:140mm sans griffes;IR0021;;Indifférent;;False
37978;KPRDCSA03;9026002033;7b59900ab0a0b205e6a0fe3fb3153dc6bfb3fa01230ca822b5fee8b4127dc740;manche bistouri n°3 inox;IR0002;;Indifférent;;False
37991;KPRDCSA03;9026002079;b3d4e3d8d7263c2b955a11830610a144dcbc30b0ce3f77b7a8c67abb91a26572;porte aiguille Mayo L:130mm;IR0063;;Indifférent;;False
37992;KPRDCSA03;9026002056;c0f2af411b3b6fc3ee0ea2481fecfa766ed7cec32d493835ee4604e5d80e5c65;porte aiguille Mayo L:200mm;IR0031;;Indifférent;;False
37998;KPRDCSA03;9026002038;05a33ca48422ce76bd884656841069daed9b24800ce7a07d46a733cd6a0a3d2a;pince dissection droite L:140mm 2*1 griffes;IR0009;;Indifférent;;False
38000;KPRDCSA03;9026002048;55b8d157c12615d8e8f110b162c9fbe58bb461c3925a2ada6e4b42f88b9c8af0;pince Pean courbe L:160mm sans griffes;IR0022;;Indifférent;;False
