;token;count
0;pince;5790
3;TRIAL;3365
6;griffes;2432
12;écarteur;1883
13;courbe;1867
14;ciseaux;1843
23;droite;1231
25;dissection;1147
26;REAMER;1128
28;courbes;1113
30;PROV;1073
32;porte;1066
34;aiguille;1056
35;valve;1014
38;DRILL;972
40;double;966
42;Trial;939
43;manche;884
45;mèche;876
46;GUIDE;872
47;tête;850
49;SELF-TAP;843
51;d'essai;826
52;HEAD;824
55;LINER;804
58;curette;785
59;SIZE;784
60;ATTUNE;779
67;canule;691
68;Pince;679
69;guide;678
70;trial;673
73;crochet;667
76;dilatateur;632
78;SCREW;629
79;STEM;624
80;clamp;624
82;insert;615
86;Mayo;568
85;TRAY;568
88;droit;561
89;size;559
90;poignée;552
91;TIBIAL;547
92;fraise;547
95;STARDR;540
97;ArtNr;534
98;pièce;532
101;tournevis;513
102;métallique;512
105;micro;500
106;PLATE;494
107;RASP;489
108;embout;487
109;bleu;486
110;anatomique;480
111;Metzenbaum;475
113;HANDLE;468
114;EVOS;467
115;pièces;463
117;ciseau;443
121;davier;433
124;coudé;428
126;FEMORAL;420
128;LOCKSCR;414
129;droits;413
136;spéculum;405
137;PHYSICA;402
140;3.5MM;397
142;ARCOS;390
143;IMPACTOR;390
146;SELF-DRILL;384
151;tige;378
153;râpe;375
154;JRNY;373
156;SHELL;365
158;lame;358
159;10MM;355
160;couvercle;354
164;gouge;350
165;SHAFT;348
167;LEFT;341
168;cotyle;340
171;noir;335
172;plaque;331
174;reamer;330
176;RIGHT;328
177;coudée;327
180;head;325
181;d'aspiration;325
184;SPACER;320
187;CORTSCR;313
189;CANN;310
190;ISRT;306
194;ostéotome;304
195;vissable;304
196;BLOCK;300
197;autostatique;297
198;DISTAL;295
200;titane;294
